starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 19 22:21:05 2023	1697754065	0	3	3	3
Thu Oct 19 22:21:05 2023	1697754065	0	10	10	1
Thu Oct 19 22:21:05 2023	1697754065	9	3	12	3
Thu Oct 19 22:21:05 2023	1697754065	9	3	12	3
Thu Oct 19 22:21:05 2023	1697754065	9	3	12	3
Thu Oct 19 22:21:05 2023	1697754065	9	3	12	3
Thu Oct 19 22:21:05 2023	1697754065	9	4	13	4
Thu Oct 19 22:21:05 2023	1697754065	9	5	13	5
Thu Oct 19 22:21:05 2023	1697754065	9	5	14	5
Thu Oct 19 22:21:05 2023	1697754065	9	6	14	6
Thu Oct 19 22:21:05 2023	1697754065	9	6	15	6
Thu Oct 19 22:21:05 2023	1697754065	9	7	15	7
Thu Oct 19 22:21:05 2023	1697754065	9	7	16	7
Thu Oct 19 22:21:05 2023	1697754065	9	8	16	8
Thu Oct 19 22:21:05 2023	1697754065	9	8	17	8
Thu Oct 19 22:21:05 2023	1697754065	9	9	17	9
Thu Oct 19 22:21:05 2023	1697754065	9	9	18	9
Thu Oct 19 22:21:05 2023	1697754065	8	10	18	10
Thu Oct 19 22:21:05 2023	1697754065	8	10	19	10
Thu Oct 19 22:21:05 2023	1697754065	8	11	19	11
Thu Oct 19 22:21:05 2023	1697754065	9	11	19	11
Thu Oct 19 22:21:05 2023	1697754065	8	12	20	12
Thu Oct 19 22:21:05 2023	1697754065	8	13	21	13
Thu Oct 19 22:21:05 2023	1697754065	8	13	22	13
Thu Oct 19 22:21:05 2023	1697754065	8	14	22	14
Thu Oct 19 22:21:05 2023	1697754065	8	15	23	15
Thu Oct 19 22:21:05 2023	1697754065	8	15	23	15
Thu Oct 19 22:21:05 2023	1697754065	8	15	24	15
Thu Oct 19 22:21:05 2023	1697754065	8	16	24	16
Thu Oct 19 22:21:05 2023	1697754065	8	16	25	16
Thu Oct 19 22:21:05 2023	1697754065	8	17	25	17
Thu Oct 19 22:21:05 2023	1697754065	8	17	26	17
Thu Oct 19 22:21:05 2023	1697754065	8	18	26	18
Thu Oct 19 22:21:05 2023	1697754065	8	19	27	19
Thu Oct 19 22:21:05 2023	1697754065	8	19	27	19
Thu Oct 19 22:21:05 2023	1697754065	8	20	28	20
Thu Oct 19 22:21:05 2023	1697754065	8	20	28	20
Thu Oct 19 22:21:05 2023	1697754065	8	20	29	20
Thu Oct 19 22:21:05 2023	1697754065	8	21	29	21
Thu Oct 19 22:21:05 2023	1697754065	8	21	29	21
Thu Oct 19 22:21:05 2023	1697754065	8	22	30	22
Thu Oct 19 22:21:05 2023	1697754065	8	22	31	22
Thu Oct 19 22:21:05 2023	1697754065	8	24	31	24
Thu Oct 19 22:21:05 2023	1697754065	8	23	32	23
Thu Oct 19 22:21:05 2023	1697754065	8	24	32	24
Thu Oct 19 22:21:05 2023	1697754065	8	25	33	25
Thu Oct 19 22:21:05 2023	1697754065	8	25	33	25
Thu Oct 19 22:21:05 2023	1697754065	8	26	34	26
Thu Oct 19 22:21:05 2023	1697754065	8	26	34	26
Thu Oct 19 22:21:05 2023	1697754065	8	27	35	27
Thu Oct 19 22:21:05 2023	1697754065	8	27	35	27
Thu Oct 19 22:21:05 2023	1697754065	8	28	35	28
Thu Oct 19 22:21:05 2023	1697754065	8	28	36	28
Thu Oct 19 22:21:05 2023	1697754065	8	29	36	29
Thu Oct 19 22:21:05 2023	1697754065	8	29	37	29
Thu Oct 19 22:21:05 2023	1697754065	8	30	38	30
Thu Oct 19 22:21:05 2023	1697754065	8	30	38	30
Thu Oct 19 22:21:05 2023	1697754065	8	31	38	31
Thu Oct 19 22:21:05 2023	1697754065	8	31	39	31
Thu Oct 19 22:21:05 2023	1697754065	8	32	39	32
Thu Oct 19 22:21:05 2023	1697754065	8	32	40	32
Thu Oct 19 22:21:05 2023	1697754065	8	33	41	33
Thu Oct 19 22:21:05 2023	1697754065	7	33	41	33
Thu Oct 19 22:21:05 2023	1697754065	7	34	41	34
Thu Oct 19 22:21:05 2023	1697754065	7	35	42	35
Thu Oct 19 22:21:05 2023	1697754065	8	35	42	35
Thu Oct 19 22:21:05 2023	1697754065	7	35	43	35
Thu Oct 19 22:21:05 2023	1697754065	7	36	43	36
Thu Oct 19 22:21:05 2023	1697754065	7	36	44	36
Thu Oct 19 22:21:05 2023	1697754065	7	37	44	37
Thu Oct 19 22:21:05 2023	1697754065	8	38	45	38
Thu Oct 19 22:21:05 2023	1697754065	7	38	45	38
Thu Oct 19 22:21:05 2023	1697754065	7	39	46	39
Thu Oct 19 22:21:05 2023	1697754065	8	39	46	39
Thu Oct 19 22:21:05 2023	1697754065	7	39	47	39
Thu Oct 19 22:21:05 2023	1697754065	7	40	47	40
Thu Oct 19 22:21:05 2023	1697754065	7	41	48	41
Thu Oct 19 22:21:05 2023	1697754065	8	41	48	41
Thu Oct 19 22:21:05 2023	1697754065	7	42	49	42
Thu Oct 19 22:21:05 2023	1697754065	8	42	50	42
Thu Oct 19 22:21:05 2023	1697754065	7	43	50	43
Thu Oct 19 22:21:05 2023	1697754065	7	44	51	44
Thu Oct 19 22:21:05 2023	1697754065	7	44	51	44
Thu Oct 19 22:21:05 2023	1697754065	7	45	52	45
Thu Oct 19 22:21:05 2023	1697754065	7	45	52	45
Thu Oct 19 22:21:05 2023	1697754065	7	46	53	46
Thu Oct 19 22:21:05 2023	1697754065	7	46	53	46
Thu Oct 19 22:21:05 2023	1697754065	7	47	54	47
Thu Oct 19 22:21:05 2023	1697754065	7	47	54	47
Thu Oct 19 22:21:05 2023	1697754065	7	48	55	48
Thu Oct 19 22:21:05 2023	1697754065	7	48	55	48
Thu Oct 19 22:21:05 2023	1697754065	7	49	56	49
Thu Oct 19 22:21:05 2023	1697754065	7	49	56	49
Thu Oct 19 22:21:05 2023	1697754065	7	50	56	50
Thu Oct 19 22:21:05 2023	1697754065	7	50	57	50
Thu Oct 19 22:21:05 2023	1697754065	7	50	57	50
Thu Oct 19 22:21:05 2023	1697754065	7	51	58	51
Thu Oct 19 22:21:05 2023	1697754065	7	52	58	51
Thu Oct 19 22:21:05 2023	1697754065	7	52	59	52
Thu Oct 19 22:21:05 2023	1697754065	7	53	60	53
Thu Oct 19 22:21:05 2023	1697754065	7	54	60	54
Thu Oct 19 22:21:05 2023	1697754065	7	53	60	53
Thu Oct 19 22:21:05 2023	1697754065	7	54	61	54
Thu Oct 19 22:21:05 2023	1697754065	7	55	62	55
Thu Oct 19 22:21:05 2023	1697754065	7	55	62	55
Thu Oct 19 22:21:05 2023	1697754065	7	56	63	56
Thu Oct 19 22:21:05 2023	1697754065	7	56	63	56
Thu Oct 19 22:21:05 2023	1697754065	7	56	63	56
Thu Oct 19 22:21:05 2023	1697754065	6	57	64	57
Thu Oct 19 22:21:05 2023	1697754065	7	57	64	57
Thu Oct 19 22:21:05 2023	1697754065	7	58	65	58
Thu Oct 19 22:21:05 2023	1697754065	7	59	65	58
Thu Oct 19 22:21:05 2023	1697754065	7	59	66	59
Thu Oct 19 22:21:05 2023	1697754065	6	59	66	59
Thu Oct 19 22:21:05 2023	1697754065	7	60	67	60
Thu Oct 19 22:21:05 2023	1697754065	7	60	67	60
Thu Oct 19 22:21:05 2023	1697754065	6	61	67	61
Thu Oct 19 22:21:05 2023	1697754065	7	62	68	62
Thu Oct 19 22:21:05 2023	1697754065	7	62	69	62
Thu Oct 19 22:21:05 2023	1697754065	6	63	69	63
Thu Oct 19 22:21:05 2023	1697754065	7	63	70	63
Thu Oct 19 22:21:05 2023	1697754065	6	64	71	64
Thu Oct 19 22:21:05 2023	1697754065	7	64	71	64
Thu Oct 19 22:21:05 2023	1697754065	6	65	71	65
Thu Oct 19 22:21:05 2023	1697754065	7	65	72	65
Thu Oct 19 22:21:05 2023	1697754065	6	66	72	66
Thu Oct 19 22:21:05 2023	1697754065	7	66	73	66
Thu Oct 19 22:21:05 2023	1697754065	6	67	73	67
Thu Oct 19 22:21:05 2023	1697754065	7	67	74	67
Thu Oct 19 22:21:05 2023	1697754065	7	68	75	68
Thu Oct 19 22:21:05 2023	1697754065	6	68	75	68
Thu Oct 19 22:21:05 2023	1697754065	6	69	75	69
Thu Oct 19 22:21:05 2023	1697754065	6	70	76	70
Thu Oct 19 22:21:05 2023	1697754065	7	70	76	70
Thu Oct 19 22:21:05 2023	1697754065	6	70	77	70
Thu Oct 19 22:21:05 2023	1697754065	6	71	77	71
Thu Oct 19 22:21:05 2023	1697754065	7	71	78	71
Thu Oct 19 22:21:05 2023	1697754065	6	72	78	72
Thu Oct 19 22:21:05 2023	1697754065	6	72	79	72
Thu Oct 19 22:21:05 2023	1697754065	6	73	79	73
Thu Oct 19 22:21:05 2023	1697754065	6	74	80	74
Thu Oct 19 22:21:05 2023	1697754065	6	74	80	74
Thu Oct 19 22:21:05 2023	1697754065	6	74	80	74
Thu Oct 19 22:21:05 2023	1697754065	6	75	81	75
Thu Oct 19 22:21:05 2023	1697754065	6	75	82	75
Thu Oct 19 22:21:05 2023	1697754065	6	76	82	76
Thu Oct 19 22:21:05 2023	1697754065	6	77	83	77
Thu Oct 19 22:21:05 2023	1697754065	6	77	83	77
Thu Oct 19 22:21:05 2023	1697754065	6	78	84	78
Thu Oct 19 22:21:05 2023	1697754065	6	78	84	78
Thu Oct 19 22:21:05 2023	1697754065	6	79	85	79
Thu Oct 19 22:21:05 2023	1697754065	6	79	85	79
Thu Oct 19 22:21:05 2023	1697754065	6	79	85	79
Thu Oct 19 22:21:05 2023	1697754065	6	80	86	80
Thu Oct 19 22:21:05 2023	1697754065	6	80	86	80
Thu Oct 19 22:21:05 2023	1697754065	6	81	87	81
Thu Oct 19 22:21:05 2023	1697754065	6	82	88	82
Thu Oct 19 22:21:05 2023	1697754065	6	81	88	81
Thu Oct 19 22:21:05 2023	1697754065	6	82	88	82
Thu Oct 19 22:21:05 2023	1697754065	6	83	89	83
Thu Oct 19 22:21:05 2023	1697754065	6	84	89	84
Thu Oct 19 22:21:05 2023	1697754065	6	84	90	84
Thu Oct 19 22:21:05 2023	1697754065	6	85	90	85
Thu Oct 19 22:21:05 2023	1697754065	6	85	91	85
Thu Oct 19 22:21:05 2023	1697754065	6	86	92	86
Thu Oct 19 22:21:05 2023	1697754065	6	87	92	87
Thu Oct 19 22:21:05 2023	1697754065	6	87	93	87
Thu Oct 19 22:21:05 2023	1697754065	6	88	94	88
Thu Oct 19 22:21:05 2023	1697754065	6	88	94	88
Thu Oct 19 22:21:05 2023	1697754065	6	89	94	89
Thu Oct 19 22:21:05 2023	1697754065	6	89	95	89
Thu Oct 19 22:21:05 2023	1697754065	5	89	95	89
Thu Oct 19 22:21:05 2023	1697754065	6	90	96	90
Thu Oct 19 22:21:05 2023	1697754065	6	90	96	90
Thu Oct 19 22:21:05 2023	1697754065	5	91	96	91
Thu Oct 19 22:21:05 2023	1697754065	6	91	97	91
Thu Oct 19 22:21:05 2023	1697754065	6	92	97	92
Thu Oct 19 22:21:05 2023	1697754065	5	92	98	92
Thu Oct 19 22:21:05 2023	1697754065	6	93	98	93
Thu Oct 19 22:21:05 2023	1697754065	5	94	99	94
Thu Oct 19 22:21:05 2023	1697754065	6	93	99	93
Thu Oct 19 22:21:05 2023	1697754065	6	94	100	94
Thu Oct 19 22:21:05 2023	1697754065	5	95	100	95
Thu Oct 19 22:21:05 2023	1697754065	6	95	100	95
Thu Oct 19 22:21:05 2023	1697754065	5	96	101	96
Thu Oct 19 22:21:05 2023	1697754065	5	97	102	97
Thu Oct 19 22:21:05 2023	1697754065	6	96	102	96
Thu Oct 19 22:21:05 2023	1697754065	5	97	103	97
Thu Oct 19 22:21:05 2023	1697754065	5	98	103	98
Thu Oct 19 22:21:05 2023	1697754065	6	98	103	98
Thu Oct 19 22:21:05 2023	1697754065	5	99	104	99
Thu Oct 19 22:21:05 2023	1697754065	5	100	105	100
Thu Oct 19 22:21:05 2023	1697754065	5	100	105	100
Thu Oct 19 22:21:05 2023	1697754065	5	100	106	100
Thu Oct 19 22:21:05 2023	1697754065	5	101	106	101
Thu Oct 19 22:21:05 2023	1697754065	5	101	106	101
Thu Oct 19 22:21:05 2023	1697754065	5	102	107	102
Thu Oct 19 22:21:05 2023	1697754065	5	102	108	102
Thu Oct 19 22:21:05 2023	1697754065	5	103	109	103
Thu Oct 19 22:21:05 2023	1697754065	5	104	109	104
Thu Oct 19 22:21:05 2023	1697754065	5	104	109	104
Thu Oct 19 22:21:05 2023	1697754065	5	105	110	105
Thu Oct 19 22:21:05 2023	1697754065	5	105	110	105
Thu Oct 19 22:21:05 2023	1697754065	5	106	111	106
Thu Oct 19 22:21:05 2023	1697754065	5	106	111	106
Thu Oct 19 22:21:05 2023	1697754065	5	107	112	107
Thu Oct 19 22:21:05 2023	1697754065	5	107	112	107
Thu Oct 19 22:21:05 2023	1697754065	5	108	112	108
Thu Oct 19 22:21:05 2023	1697754065	5	108	113	108
Thu Oct 19 22:21:05 2023	1697754065	5	109	114	109
Thu Oct 19 22:21:05 2023	1697754065	5	109	114	109
Thu Oct 19 22:21:05 2023	1697754065	5	110	115	110
Thu Oct 19 22:21:05 2023	1697754065	5	110	115	110
Thu Oct 19 22:21:05 2023	1697754065	5	111	116	111
Thu Oct 19 22:21:05 2023	1697754065	5	112	117	112
Thu Oct 19 22:21:05 2023	1697754065	5	112	117	112
Thu Oct 19 22:21:05 2023	1697754065	5	113	118	113
Thu Oct 19 22:21:05 2023	1697754065	5	113	118	113
Thu Oct 19 22:21:05 2023	1697754065	4	114	118	114
Thu Oct 19 22:21:05 2023	1697754065	5	113	118	113
Thu Oct 19 22:21:05 2023	1697754065	5	114	119	114
Thu Oct 19 22:21:05 2023	1697754065	5	115	120	115
Thu Oct 19 22:21:05 2023	1697754065	5	115	120	115
Thu Oct 19 22:21:05 2023	1697754065	5	116	121	116
Thu Oct 19 22:21:05 2023	1697754065	4	116	121	116
Thu Oct 19 22:21:05 2023	1697754065	5	117	122	117
Thu Oct 19 22:21:05 2023	1697754065	5	117	122	117
